row,col,value
0,1706,45.3149986
1,1417,50.5219994
1,1421,50.5936737
1,1716,48.5730019
3,1653,38.7719994
5,1379,56.7150002
8,1625,38.1189995
9,1363,53.1949997
16,1495,44.5419998
18,1779,53.4500008
22,1586,40.8479996
24,1582,41.5629997
25,1324,37.8930016
26,1516,43.9485016
26,1809,75.7979965
27,1522,46.132
27,1815,76.8970032
28,1528,47.9700012
29,1534,50.5499992
30,1540,52.0159988
32,1312,36.6800003
37,1853,68.6050034
41,1863,65.9120026
44,1295,37.0410004
49,1289,36.1131477
52,1885,55.9399986
59,1278,35.6389999
60,1277,35.6030006
65,1905,39.3720016
71,1267,35.7630005
77,1262,35.9329987
94,1250,37.0369987
106,1243,35.3886681
130,1232,39.3040009
141,1973,0
145,1227,40.6539993
148,389,105.41571
148,411,104.751999
150,430,103.327003
151,363,112.330002
151,436,102.375
153,577,111.583
153,597,110.112999
154,609,108.876999
155,344,114.847
156,465,101.915001
157,484,111.695999
157,541,113.258003
157,628,107.546997
158,501,113.347748
158,527,114.194
158,528,114.160004
158,529,114.282997
160,662,106.981003
161,672,105.742195
161,1223,39.3349571
168,308,104.422997
168,711,99.5090027
171,302,104.338142
175,736,92.072998
180,1220,36.262001
180,1991,0
187,276,104.470001
194,267,102.442001
199,261,96.0999985
208,1217,40.3219986
212,2000,0
216,244,90.9938889
218,2001,0
219,1216,43.7201653
222,239,91.1849976
231,232,86.0149994
233,2003,0
240,1214,40.2200012
247,2004,0
248,2004,0
250,206,79.1399994
254,199,76.7419968
259,191,75.2440033
261,1212,41.0979996
264,2004,0
265,182,68.7519989
280,163,67.7220001
280,1210,36.4830017
296,147,60.7159996
297,146,59.9990005
299,1208,37.6920013
301,925,67.595665
301,1999,0
303,141,57.6580009
308,137,55.9220009
308,1207,36.6749992
316,1995,0
329,1203,36.6559982
342,115,54.3580017
344,1199,37.0649986
353,109,52.6419983
359,2022,0
360,1196,44.137001
365,103,55.6767998
365,982,0
368,1195,48.6119995
377,98,56.0139999
379,2031,0
380,1194,63.0519981
381,990,0
390,1193,67.6149979
392,93,54.3460007
392,1192,67.4601669
398,1189,67.4889984
412,1183,68.1179962
420,1180,68.3560028
427,86,49.4760017
438,85,51.6689987
442,84,51.9490013
448,1007,0
458,80,53.5460014
478,1007,0
484,76,60.9934998
488,1006,0
490,1168,54.7179985
492,1159,53.493
494,1151,52.1717796
498,1138,49.2351837
504,1123,42.6110001
505,70,57.6279984
505,1003,0
507,2155,0
510,2157,0
513,67,52.5589981
516,1099,39.1923332
523,64,52.0180016
523,1087,44.1870003
527,997,0
533,1072,48.8387146
534,2171,0
535,61,53.7439995
535,994,0
543,1059,46.9714966
546,59,53.0359993
550,1051,46.0237122
554,991,39.2259979
570,1031,41.7319984
573,2196,52.1230011
589,2857,69.310997
589,2886,64.2170029
591,2840,71.064003
591,2903,63.3110008
592,2834,69.2659988
592,2909,62.7820015
594,2825,73.387001
594,2918,62.3120003
597,2814,71.0540009
601,2802,67.1709976
602,58,37.0830002
605,2792,66.2770004
615,2772,68.6050034
618,2767,69.0339966
626,2755,69.9300003
632,2747,72.2649994
638,66,16.8299999
644,68,15.1000004
672,2699,73.2233353
673,81,12.0576315
678,2681,73.9759979
680,85,12.0664997
681,2335,0
689,2656,73.8479996
689,3046,0
700,2343,0
700,2637,75.427002
700,3052,0
702,2634,74.7539978
704,2631,73.8550034
706,3055,0
709,2624,76.0830002
726,2596,76.1449966
727,2586,75.7799988
728,2580,73.6100006
729,2574,73.8003769
732,2561,73.2559967
733,2352,0
734,2405,60.9449997
734,2423,60.4389992
734,2424,60.5130005
735,2436,63.6555977
736,2384,58.6599998
736,3075,0
738,2541,73.0469971
739,2353,0
739,2491,69.7720032
739,2492,69.8820038
740,2357,62.6040001
740,2507,70.7113342
741,2515,70.7882538
741,3078,0
742,2521,70.3410034
746,133,9.5749321
751,3087,63.4099998
751,3119,60.2809982
752,3129,60.8400002
756,3150,62.243
759,3161,64.8460007
768,3185,65.2190018
808,167,11.0860004
817,163,11.0860004
825,160,11.0198002
834,153,10.3389997
836,149,9.75899982
842,137,12.6370001
853,119,8.33300018
858,112,8.05200005
866,102,7.48099995
872,3287,0
877,3289,0
888,80,5.55892038
888,3293,0
902,66,5.77899981
902,3297,0
903,65,5.52400017
911,57,5.56400013
912,56,5.71400023
922,47,-1.01499999
931,3302,0
943,3303,0
947,29,-1.38600004
972,16,3.92600012
977,3305,0
985,3305,0
1001,6,5.40100002
1001,3304,0
1006,3758,91.0354462
1007,3748,90.4800034
1007,3800,89.322998
1008,3806,89.288002
1009,3812,88.979332
1013,3715,90.7490005
1014,3710,91.2099991
1015,3705,91.6050034
1020,3849,89.3830032
1023,3634,96.1460037
1023,3654,96.2750015
1025,3614,95.2440033
1026,3608,95.5859985
1028,1,5.9749999
1035,3575,100.029999
1037,3531,95.1230011
1038,0,6.19799995
1038,3512,92.0830002
1039,3502,93.302002
1040,3496,93.0540009
1041,3490,93.2789993
1042,3480,93.5619965
1043,3470,93.473999
1045,3457,90.5940018
1047,3448,90.3068085
1054,3425,89.809288
1057,3931,92.5370026
1058,3937,92.4179993
1061,3953,91.4609985
1062,3406,90.4044189
1064,0,5.53800011
1065,3974,91.5370026
1089,4073,79.5599976
1090,4063,79.5490036
1090,4115,82.2659988
1091,4057,79.5350037
1091,4121,82.5731964
